# ORÁCULO: a vista `Khronos PBR Neutral` do Blender 5.2, corrida pelo OpenColorIO sem interface
# OpenColorIO 2.5.1 (BSD-3-Clause) · config.ocio sha256 47a7d83e79c1d21f49ba6c505efe311da723471688c614b5c366e1da7eb8ea3a
# pbrNeutral.cube sha256 cc177eeaa09e43a7d1a3e59e0745beba09a5190764259db58a485513a143f0b9
# entrada: os NÓS do LUT, lg2 [-9, 10] em 57 passos — 57 cinzas + 400 cores (semente 20260913)
# gerado por docs/Render3d/ferramentas/fixture_neutral.py · formato: r g b  R G B (linear da cena · sRGB codificado)
1.953125000e-03 1.953125000e-03 1.953125000e-03  3.075797867e-04 3.075797867e-04 3.075797867e-04
2.470957161e-03 2.470957161e-03 2.470957161e-03  4.936760524e-04 4.936760524e-04 4.936760524e-04
3.126082198e-03 3.126082198e-03 3.126082198e-03  7.896076422e-04 7.896076422e-04 7.896076422e-04
3.954900579e-03 3.954900579e-03 3.954900579e-03  1.263895654e-03 1.263895654e-03 1.263895654e-03
5.003463632e-03 5.003463632e-03 5.003463632e-03  2.022518776e-03 2.022518776e-03 2.022518776e-03
6.330032277e-03 6.330032277e-03 6.330032277e-03  3.235984826e-03 3.235984826e-03 3.235984826e-03
8.008314156e-03 8.008314156e-03 8.008314156e-03  5.179592874e-03 5.179592874e-03 5.179592874e-03
1.013155902e-02 1.013155902e-02 1.013155902e-02  8.291652426e-03 8.291652426e-03 8.291652426e-03
1.281773994e-02 1.281773994e-02 1.281773994e-02  1.326968148e-02 1.326968148e-02 1.326968148e-02
1.621610818e-02 1.621610818e-02 1.621610818e-02  2.123908512e-02 2.123908512e-02 2.123908512e-02
2.051548602e-02 2.051548602e-02 2.051548602e-02  3.399485350e-02 3.399485350e-02 3.399485350e-02
2.595475819e-02 2.595475819e-02 2.595475819e-02  5.298999324e-02 5.298999324e-02 5.298999324e-02
3.283614496e-02 3.283614496e-02 3.283614496e-02  7.636924833e-02 7.636924833e-02 7.636924833e-02
4.154199425e-02 4.154199425e-02 4.154199425e-02  1.048125103e-01 1.048125103e-01 1.048125103e-01
5.255602595e-02 5.255602595e-02 5.255602595e-02  1.394117475e-01 1.394117475e-01 1.394117475e-01
6.649020861e-02 6.649020861e-02 6.649020861e-02  1.815013885e-01 1.815013885e-01 1.815013885e-01
8.411876204e-02 8.411876204e-02 8.411876204e-02  2.324156761e-01 2.324156761e-01 2.324156761e-01
1.064211750e-01 1.064211750e-01 1.064211750e-01  2.858387828e-01 2.858387828e-01 2.858387828e-01
1.346366282e-01 1.346366282e-01 1.346366282e-01  3.400082588e-01 3.400082588e-01 3.400082588e-01
1.703328464e-01 1.703328464e-01 1.703328464e-01  3.963601291e-01 3.963601291e-01 3.963601291e-01
2.154932053e-01 2.154932053e-01 2.154932053e-01  4.559314847e-01 4.559314847e-01 4.559314847e-01
2.726269332e-01 2.726269332e-01 2.726269332e-01  5.195901990e-01 5.195901990e-01 5.195901990e-01
3.449085301e-01 3.449085301e-01 3.449085301e-01  5.881690979e-01 5.881690979e-01 5.881690979e-01
4.363541516e-01 4.363541516e-01 4.363541516e-01  6.624459624e-01 6.624459624e-01 6.624459624e-01
5.520447568e-01 5.520447568e-01 5.520447568e-01  7.432304621e-01 7.432304621e-01 7.432304621e-01
6.984084199e-01 6.984084199e-01 6.984084199e-01  8.313902020e-01 8.313902020e-01 8.313902020e-01
8.835774907e-01 8.835774907e-01 8.835774907e-01  9.172602892e-01 9.172602892e-01 9.172602892e-01
1.117840450e+00 1.117840450e+00 1.117840450e+00  9.531680942e-01 9.531680942e-01 9.531680942e-01
1.414213562e+00 1.414213562e+00 1.414213562e+00  9.697532654e-01 9.697532654e-01 9.697532654e-01
1.789164098e+00 1.789164098e+00 1.789164098e+00  9.791088104e-01 9.791088104e-01 9.791088104e-01
2.263525295e+00 2.263525295e+00 2.263525295e+00  9.849832654e-01 9.849832654e-01 9.849832654e-01
2.863653906e+00 2.863653906e+00 2.863653906e+00  9.889232516e-01 9.889232516e-01 9.889232516e-01
3.622894657e+00 3.622894657e+00 3.622894657e+00  9.916839600e-01 9.916839600e-01 9.916839600e-01
4.583432958e+00 4.583432958e+00 4.583432958e+00  9.936774373e-01 9.936774373e-01 9.936774373e-01
5.798638843e+00 5.798638843e+00 5.798638843e+00  9.951486588e-01 9.951486588e-01 9.951486588e-01
7.336032346e+00 7.336032346e+00 7.336032346e+00  9.962521791e-01 9.962521791e-01 9.962521791e-01
9.281035089e+00 9.281035089e+00 9.281035089e+00  9.970899224e-01 9.970899224e-01 9.970899224e-01
1.174171654e+01 1.174171654e+01 1.174171654e+01  9.977313280e-01 9.977313280e-01 9.977313280e-01
1.485479863e+01 1.485479863e+01 1.485479863e+01  9.982263446e-01 9.982263446e-01 9.982263446e-01
1.879325237e+01 1.879325237e+01 1.879325237e+01  9.986099005e-01 9.986099005e-01 9.986099005e-01
2.377590863e+01 2.377590863e+01 2.377590863e+01  9.989088178e-01 9.989088178e-01 9.989088178e-01
3.007961686e+01 3.007961686e+01 3.007961686e+01  9.991422296e-01 9.991422296e-01 9.991422296e-01
3.805462768e+01 3.805462768e+01 3.805462768e+01  9.993249178e-01 9.993249178e-01 9.993249178e-01
