# rastreio por passo -- esfera_agarrar_radial_dinamica: |u| DEPOIS do passo k, de vertices de repouso nomeados (deslocamentos perpendiculares ao traco a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho; 'banda_de_realizacao' = maior diferenca por vertice entre 4 realizacoes do MESMO prefixo
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R limite_3.5R fora_4R sob_o_cursor_k banda_de_realizacao
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.00866 0.00518 0.00038 0.00000 0.00000 0.00000 0.00806 0.00020
3 0.02260 0.01463 0.00189 0.00000 0.00000 0.00000 0.01593 0.00047
4 0.04181 0.02806 0.00467 0.00000 0.00000 0.00000 0.02225 0.00065
5 0.06507 0.04516 0.00874 0.00000 0.00000 0.00000 0.03048 0.00219
6 0.09032 0.06592 0.01416 0.00000 0.00000 0.00000 0.02558 0.00115
7 0.11538 0.08972 0.02150 0.00000 0.00000 0.00000 0.02696 0.00505
8 0.13932 0.11466 0.03147 0.00000 0.00000 0.00000 0.03254 0.00562
9 0.16291 0.13951 0.04427 0.00000 0.00000 0.00000 0.03879 0.01125
10 0.18671 0.16436 0.06089 0.00000 0.00000 0.00000 0.03783 0.01402
11 0.21107 0.18951 0.08135 0.00000 0.00000 0.00000 0.03786 0.01166
12 0.23577 0.21482 0.10471 0.00000 0.00000 0.00000 0.04094 0.01457
