# rastreio por passo -- esfera_expandir_radial_dinamica: |u| DEPOIS do passo k, de vertices de repouso nomeados (deslocamentos perpendiculares ao traco a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho; 'banda_de_realizacao' = maior diferenca por vertice entre 4 realizacoes do MESMO prefixo
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R limite_3.5R fora_4R sob_o_cursor_k banda_de_realizacao
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.00074 0.00074 0.00015 0.00000 0.00000 0.00000 0.00093 0.00004
3 0.00208 0.00164 0.00048 0.00000 0.00000 0.00000 0.00253 0.00018
4 0.00383 0.00249 0.00085 0.00000 0.00000 0.00000 0.00507 0.00023
5 0.00625 0.00326 0.00119 0.00000 0.00000 0.00000 0.00589 0.00099
6 0.00764 0.00383 0.00146 0.00000 0.00000 0.00000 0.00684 0.00316
7 0.01106 0.00445 0.00168 0.00000 0.00000 0.00000 0.01017 0.00760
8 0.01131 0.00474 0.00186 0.00000 0.00000 0.00000 0.00945 0.00846
9 0.01353 0.00505 0.00207 0.00000 0.00000 0.00000 0.00851 0.00638
10 0.01756 0.00526 0.00223 0.00000 0.00000 0.00000 0.01042 0.00991
11 0.01853 0.00559 0.00231 0.00000 0.00000 0.00000 0.00971 0.01456
12 0.02116 0.00579 0.00237 0.00000 0.00000 0.00000 0.00988 0.03042
