# rastreio por passo -- esfera_gancho_radial_dinamica: |u| DEPOIS do passo k, de vertices de repouso nomeados (deslocamentos perpendiculares ao traco a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho; 'banda_de_realizacao' = maior diferenca por vertice entre 4 realizacoes do MESMO prefixo
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R limite_3.5R fora_4R sob_o_cursor_k banda_de_realizacao
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.02672 0.01623 0.00125 0.00000 0.00000 0.00000 0.02547 0.00012
3 0.04766 0.02948 0.00490 0.00000 0.00000 0.00000 0.03941 0.00077
4 0.06708 0.04293 0.00944 0.00000 0.00000 0.00000 0.04140 0.00222
5 0.08522 0.05858 0.01414 0.00000 0.00000 0.00000 0.05430 0.00465
6 0.10095 0.07600 0.01864 0.00000 0.00000 0.00000 0.05619 0.00193
7 0.11402 0.09402 0.02356 0.00000 0.00000 0.00000 0.07291 0.00992
8 0.12469 0.11117 0.02872 0.00000 0.00000 0.00000 0.07763 0.03561
9 0.13417 0.12720 0.03444 0.00000 0.00000 0.00000 0.09021 0.03449
10 0.14267 0.14170 0.04037 0.00000 0.00000 0.00000 0.10132 0.02108
11 0.15255 0.15606 0.04676 0.00000 0.00000 0.00000 0.07492 0.03997
12 0.16224 0.16862 0.05231 0.00000 0.00000 0.00000 0.10299 0.03157
