# rastreio por passo -- plano_apertar_linha_radial_local_origem: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.00000 0.00071 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
3 0.00132 0.01174 0.00303 0.00062 0.00013 0.00000 0.00000 0.00270
4 0.00141 0.01356 0.00687 0.00225 0.00065 0.00001 0.00000 0.00522
5 0.00176 0.01535 0.00946 0.00376 0.00129 0.00002 0.00000 0.00739
6 0.00535 0.01238 0.01014 0.00459 0.00180 0.00005 0.00000 0.00700
7 0.00618 0.00830 0.00842 0.00434 0.00196 0.00008 0.00000 0.02637
8 0.00469 0.00487 0.00567 0.00327 0.00175 0.00011 0.00000 0.09094
9 0.00430 0.00278 0.00295 0.00207 0.00136 0.00013 0.00000 0.02584
10 0.00353 0.00199 0.00071 0.00116 0.00096 0.00014 0.00000 0.00824
11 0.00297 0.00194 0.00090 0.00094 0.00069 0.00015 0.00000 0.00722
12 0.00273 0.00192 0.00160 0.00108 0.00058 0.00015 0.00000 0.00490
