# rastreio por passo -- plano_apertar_ponto_radial_local_origem: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.09347 0.00071 0.00000 0.00000 0.00000 0.00000 0.00000 0.09986
3 0.18419 0.02096 0.00393 0.00074 0.00016 0.00000 0.00000 0.05275
4 0.11796 0.03199 0.01215 0.00351 0.00095 0.00001 0.00000 0.13950
5 0.10577 0.03651 0.02044 0.00746 0.00240 0.00003 0.00000 0.09947
6 0.19690 0.04725 0.02658 0.01091 0.00396 0.00008 0.00000 0.20452
7 0.20815 0.05657 0.03082 0.01322 0.00522 0.00016 0.00000 0.10610
8 0.20089 0.05936 0.03266 0.01443 0.00608 0.00025 0.00000 0.03915
9 0.18690 0.05664 0.03156 0.01450 0.00649 0.00035 0.00000 0.23485
10 0.15992 0.05035 0.02797 0.01341 0.00636 0.00045 0.00000 0.12567
11 0.14879 0.05929 0.02511 0.01192 0.00582 0.00054 0.00000 0.08861
12 0.15436 0.06682 0.02568 0.01141 0.00533 0.00061 0.00000 0.03572
