# rastreio por passo -- plano_apertar_ponto_radial_local_origem_fraco: |u| DEPOIS do passo k, de vertices de repouso nomeados; forca 0,2 (controlo do par do §5.2-ter)
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.00374 0.00003 0.00000 0.00000 0.00000 0.00000 0.00000 0.00399
3 0.00303 0.00028 0.00008 0.00002 0.00000 0.00000 0.00000 0.00373
4 0.00228 0.00036 0.00018 0.00006 0.00002 0.00000 0.00000 0.00369
5 0.00148 0.00035 0.00024 0.00010 0.00003 0.00000 0.00000 0.00428
6 0.00080 0.00030 0.00023 0.00011 0.00004 0.00000 0.00000 0.00429
7 0.00043 0.00025 0.00020 0.00010 0.00004 0.00000 0.00000 0.00373
8 0.00055 0.00022 0.00015 0.00007 0.00004 0.00000 0.00000 0.00388
9 0.00063 0.00021 0.00010 0.00005 0.00003 0.00000 0.00000 0.00395
10 0.00066 0.00023 0.00008 0.00004 0.00002 0.00000 0.00000 0.00398
11 0.00064 0.00026 0.00008 0.00004 0.00002 0.00000 0.00000 0.00398
12 0.00060 0.00028 0.00010 0.00004 0.00002 0.00000 0.00000 0.00400
