# rastreio por passo -- plano_arrastar_radial_global: deslocamento |u| (e componente x) de vértices de repouso nomeados; 'sob_o_cursor_k' = vértice mais próximo do ponto k do caminho
passo sob_o_cursor_inicial|u| a_1R|u| a_2R|u| inicio_da_banda_2.875R|u| meio_da_banda_3.2R|u| limite_3.5R|u| sob_o_cursor_k|u|
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.09708 0.00094 0.00000 0.00000 0.00000 0.00000 0.09971
3 0.20468 0.01020 0.00021 0.00002 0.00001 0.00000 0.17145
4 0.27418 0.03172 0.00144 0.00022 0.00008 0.00004 0.21616
5 0.32857 0.06348 0.00469 0.00104 0.00045 0.00026 0.25901
6 0.37952 0.10042 0.01054 0.00303 0.00153 0.00096 0.34074
7 0.44311 0.14116 0.01946 0.00661 0.00377 0.00259 0.31321
8 0.49333 0.18433 0.03201 0.01196 0.00756 0.00561 0.20482
9 0.53974 0.22520 0.04809 0.01909 0.01312 0.01041 0.19876
10 0.57357 0.26123 0.06677 0.02795 0.02054 0.01723 0.23310
11 0.60854 0.29012 0.08702 0.03849 0.02973 0.02607 0.26465
12 0.64461 0.31958 0.10866 0.05080 0.04057 0.03673 0.36481
