# rastreio por passo -- plano_arrastar_radial_global_origem: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.09347 0.00072 0.00000 0.00000 0.00000 0.00000 0.00000 0.09986
3 0.20530 0.01013 0.00024 0.00002 0.00001 0.00000 0.00000 0.18029
4 0.27913 0.03197 0.00157 0.00024 0.00009 0.00005 0.00001 0.22558
5 0.33335 0.06380 0.00500 0.00112 0.00049 0.00028 0.00011 0.24307
6 0.38610 0.10068 0.01106 0.00321 0.00163 0.00103 0.00049 0.24223
7 0.44464 0.14042 0.02008 0.00691 0.00396 0.00273 0.00157 0.23429
8 0.49123 0.18174 0.03263 0.01237 0.00785 0.00584 0.00388 0.30696
9 0.54262 0.22325 0.04867 0.01959 0.01351 0.01074 0.00797 0.22634
10 0.58434 0.26075 0.06736 0.02850 0.02101 0.01766 0.01427 0.25184
11 0.61514 0.29525 0.08773 0.03912 0.03029 0.02659 0.02293 0.25337
12 0.64571 0.32416 0.10920 0.05157 0.04128 0.03738 0.03378 0.21922
