# rastreio por passo -- plano_arrastar_radial_global_origem_36passos: |u| DEPOIS do passo k, de vertices de repouso nomeados (deslocamentos perpendiculares ao traco a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.09930 0.00108 0.00000 0.00000 0.00000 0.00000 0.09930
3 0.19394 0.01075 0.00018 0.00002 0.00000 0.00000 0.17217
4 0.23490 0.03140 0.00121 0.00019 0.00003 0.00001 0.21410
5 0.26708 0.06045 0.00379 0.00086 0.00022 0.00008 0.24643
6 0.29241 0.09216 0.00818 0.00245 0.00079 0.00037 0.24662
7 0.32119 0.12294 0.01454 0.00513 0.00207 0.00119 0.27665
8 0.36113 0.15210 0.02326 0.00883 0.00432 0.00291 0.34561
9 0.39635 0.18168 0.03480 0.01340 0.00770 0.00585 0.37162
10 0.42758 0.21127 0.04924 0.01897 0.01228 0.01020 0.40902
11 0.44976 0.24270 0.06605 0.02595 0.01806 0.01596 0.37054
12 0.47137 0.27675 0.08459 0.03475 0.02503 0.02303 0.37691
13 0.49653 0.30913 0.10413 0.04557 0.03315 0.03123 0.37157
14 0.51712 0.34043 0.12422 0.05824 0.04232 0.04029 0.31832
15 0.53875 0.36546 0.14451 0.07240 0.05238 0.04992 0.34031
16 0.56883 0.38834 0.16483 0.08764 0.06313 0.05976 0.34894
17 0.59658 0.40983 0.18529 0.10364 0.07438 0.06952 0.28855
18 0.62741 0.43295 0.20621 0.12025 0.08602 0.07896 0.30556
19 0.64557 0.45702 0.22748 0.13745 0.09807 0.08804 0.23528
20 0.67099 0.48437 0.25028 0.15534 0.11070 0.09698 0.25467
21 0.70075 0.51646 0.27464 0.17405 0.12420 0.10628 0.27334
22 0.73282 0.55077 0.30051 0.19368 0.13895 0.11662 0.27517
23 0.76645 0.58547 0.32917 0.21444 0.15530 0.12875 0.29235
24 0.79994 0.62404 0.35960 0.23662 0.17360 0.14329 0.30877
25 0.83319 0.66493 0.39279 0.26057 0.19410 0.16060 0.31392
26 0.86577 0.70001 0.42802 0.28650 0.21697 0.18077 0.33040
27 0.89594 0.73616 0.46545 0.31482 0.24228 0.20366 0.33823
28 0.91582 0.76302 0.50318 0.34567 0.26998 0.22895 0.35642
29 0.93854 0.78592 0.54181 0.37905 0.29995 0.25625 0.37535
30 0.97284 0.80669 0.58021 0.41604 0.33204 0.28524 0.38857
31 0.98143 0.82769 0.61766 0.45724 0.36605 0.31563 0.40522
32 0.99343 0.85147 0.65588 0.50154 0.40171 0.34716 0.42202
33 1.00607 0.87360 0.69579 0.54849 0.43893 0.37962 0.43722
34 1.01999 0.89850 0.73175 0.59330 0.47756 0.41280 0.45633
35 1.03642 0.92529 0.76705 0.63648 0.51789 0.44653 0.47593
36 1.05500 0.95604 0.80181 0.67829 0.56022 0.48064 0.49330
