# rastreio por passo -- plano_arrastar_radial_local: deslocamento |u| (e componente x) de vértices de repouso nomeados; 'sob_o_cursor_k' = vértice mais próximo do ponto k do caminho
passo sob_o_cursor_inicial|u| a_1R|u| a_2R|u| inicio_da_banda_2.875R|u| meio_da_banda_3.2R|u| limite_3.5R|u| sob_o_cursor_k|u|
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.09708 0.00094 0.00000 0.00000 0.00000 0.00000 0.09971
3 0.16733 0.01188 0.00045 0.00007 0.00001 0.00000 0.14205
4 0.21138 0.03162 0.00217 0.00050 0.00008 0.00000 0.17263
5 0.24614 0.05528 0.00574 0.00152 0.00032 0.00000 0.19217
6 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
7 0.29111 0.09915 0.01909 0.00468 0.00136 0.00000 0.20415
8 0.29765 0.11525 0.02780 0.00654 0.00202 0.00000 0.21572
9 0.28954 0.12619 0.03630 0.00874 0.00268 0.00000 0.22429
10 0.26530 0.13182 0.04338 0.01124 0.00331 0.00000 0.22959
11 0.23062 0.13251 0.04817 0.01362 0.00393 0.00000 0.23177
12 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
