# rastreio por passo -- plano_arrastar_radial_local_origem: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.09347 0.00072 0.00000 0.00000 0.00000 0.00000 0.00000 0.09986
3 0.16758 0.01176 0.00051 0.00008 0.00002 0.00000 0.00000 0.14865
4 0.21314 0.03171 0.00237 0.00058 0.00014 0.00000 0.00000 0.17944
5 0.24711 0.05551 0.00614 0.00174 0.00051 0.00000 0.00000 0.18102
6 0.27291 0.07947 0.01219 0.00343 0.00112 0.00002 0.00000 0.19755
7 0.29041 0.10136 0.02041 0.00537 0.00188 0.00004 0.00000 0.21078
8 0.29737 0.11971 0.03001 0.00758 0.00265 0.00008 0.00000 0.22034
9 0.29100 0.13338 0.03971 0.01030 0.00341 0.00013 0.00000 0.22642
10 0.27014 0.14161 0.04809 0.01341 0.00423 0.00019 0.00000 0.22915
11 0.24062 0.14418 0.05400 0.01638 0.00515 0.00025 0.00000 0.20411
12 0.22022 0.14132 0.05677 0.01858 0.00606 0.00032 0.00000 0.20429
