# rastreio por passo -- plano_arrastar_radial_local_origem_36passos: |u| DEPOIS do passo k, de vertices de repouso nomeados (deslocamentos perpendiculares ao traco a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.09930 0.00108 0.00000 0.00000 0.00000 0.00000 0.09930
3 0.15742 0.01249 0.00039 0.00007 0.00000 0.00000 0.13950
4 0.18405 0.03169 0.00181 0.00046 0.00000 0.00000 0.16864
5 0.20836 0.05401 0.00477 0.00136 0.00000 0.00000 0.19092
6 0.22754 0.07596 0.00979 0.00258 0.00001 0.00000 0.19207
7 0.24524 0.09575 0.01691 0.00386 0.00003 0.00000 0.20889
8 0.25997 0.11229 0.02535 0.00534 0.00006 0.00000 0.20437
9 0.27165 0.12473 0.03385 0.00741 0.00009 0.00000 0.21579
10 0.27977 0.13250 0.04110 0.00997 0.00013 0.00000 0.22422
11 0.28454 0.13549 0.04603 0.01242 0.00018 0.00000 0.21026
12 0.28635 0.13410 0.04809 0.01417 0.00022 0.00000 0.21376
13 0.28572 0.12909 0.04729 0.01489 0.00027 0.00000 0.21583
14 0.28312 0.12143 0.04414 0.01455 0.00032 0.00000 0.19763
15 0.27887 0.11222 0.03948 0.01342 0.00036 0.00000 0.19888
16 0.27313 0.10259 0.03425 0.01185 0.00041 0.00000 0.20025
17 0.26591 0.09363 0.02924 0.01023 0.00046 0.00000 0.18328
18 0.25713 0.08592 0.02497 0.00880 0.00051 0.00000 0.18619
19 0.24690 0.07948 0.02160 0.00763 0.00055 0.00000 0.17133
20 0.23550 0.07464 0.01913 0.00669 0.00059 0.00000 0.17644
21 0.22338 0.07161 0.01759 0.00595 0.00062 0.00000 0.18258
22 0.21117 0.07045 0.01708 0.00545 0.00064 0.00000 0.17099
23 0.19963 0.07104 0.01762 0.00531 0.00066 0.00000 0.17900
24 0.18954 0.07307 0.01905 0.00555 0.00068 0.00000 0.18761
25 0.18151 0.07614 0.02102 0.00611 0.00069 0.00000 0.17743
26 0.17570 0.07979 0.02319 0.00682 0.00070 0.00000 0.18655
27 0.17189 0.08359 0.02533 0.00759 0.00071 0.00000 0.17587
28 0.16947 0.08713 0.02728 0.00835 0.00072 0.00000 0.18464
29 0.16781 0.09010 0.02896 0.00906 0.00074 0.00000 0.19302
30 0.16642 0.09223 0.03031 0.00971 0.00076 0.00000 0.18073
31 0.16515 0.09338 0.03130 0.01028 0.00078 0.00000 0.18816
32 0.16334 0.09346 0.03190 0.01072 0.00081 0.00000 0.19502
33 0.16011 0.09250 0.03211 0.01103 0.00084 0.00000 0.18117
34 0.15563 0.09060 0.03191 0.01119 0.00087 0.00000 0.18727
35 0.15020 0.08792 0.03133 0.01119 0.00091 0.00000 0.19287
36 0.14411 0.08465 0.03042 0.01103 0.00094 0.00000 0.17833
