# rastreio por passo -- plano_empurrar_radial_global_origem: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.06543 0.00050 0.00000 0.00000 0.00000 0.00000 0.00000 0.06990
3 0.17456 0.00322 0.00019 0.00002 0.00001 0.00000 0.00000 0.19197
4 0.25127 0.02330 0.00168 0.00026 0.00010 0.00005 0.00002 0.27411
5 0.27368 0.06194 0.00610 0.00138 0.00062 0.00035 0.00014 0.28133
6 0.27879 0.09986 0.01331 0.00414 0.00215 0.00138 0.00067 0.30390
7 0.28068 0.13210 0.02157 0.00874 0.00519 0.00366 0.00217 0.31409
8 0.28158 0.15963 0.02923 0.01465 0.00981 0.00755 0.00524 0.30231
9 0.28222 0.18321 0.03558 0.02108 0.01568 0.01302 0.01023 0.28765
10 0.28164 0.20322 0.04081 0.02740 0.02234 0.01976 0.01702 0.28617
11 0.28011 0.21992 0.04570 0.03331 0.02931 0.02726 0.02507 0.28145
12 0.27785 0.23353 0.05127 0.03880 0.03623 0.03495 0.03362 0.27924
