# rastreio por passo -- plano_empurrar_radial_local_origem: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.06543 0.00050 0.00000 0.00000 0.00000 0.00000 0.00000 0.06990
3 0.17038 0.00423 0.00046 0.00008 0.00002 0.00000 0.00000 0.18733
4 0.22446 0.02977 0.00343 0.00078 0.00019 0.00000 0.00000 0.24728
5 0.23493 0.07046 0.00960 0.00290 0.00082 0.00001 0.00000 0.25578
6 0.23822 0.10596 0.01629 0.00599 0.00195 0.00003 0.00000 0.25839
7 0.23968 0.13452 0.02078 0.00863 0.00317 0.00007 0.00000 0.24698
8 0.23848 0.15728 0.02235 0.00976 0.00399 0.00013 0.00000 0.23497
9 0.23546 0.17465 0.02265 0.00935 0.00419 0.00020 0.00000 0.22357
10 0.23108 0.18680 0.02538 0.00799 0.00390 0.00026 0.00000 0.23925
11 0.22561 0.19418 0.03367 0.00643 0.00334 0.00032 0.00000 0.23761
12 0.21945 0.19761 0.04719 0.00532 0.00278 0.00036 0.00000 0.23225
