# rastreio por passo -- plano_empurrar_radial_local_origem_amort1: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.06543 0.00050 0.00000 0.00000 0.00000 0.00000 0.00000 0.06990
3 0.10998 0.00214 0.00023 0.00004 0.00001 0.00000 0.00000 0.12540
4 0.12455 0.00718 0.00094 0.00021 0.00007 0.00000 0.00000 0.15222
5 0.12368 0.01294 0.00193 0.00052 0.00019 0.00000 0.00000 0.15743
6 0.11741 0.01774 0.00289 0.00090 0.00035 0.00001 0.00000 0.16627
7 0.11207 0.02141 0.00370 0.00128 0.00052 0.00001 0.00000 0.17291
8 0.10923 0.02419 0.00432 0.00160 0.00068 0.00002 0.00000 0.17813
9 0.10679 0.02632 0.00477 0.00187 0.00082 0.00004 0.00000 0.18234
10 0.10475 0.02801 0.00509 0.00209 0.00094 0.00005 0.00000 0.18581
11 0.10302 0.02938 0.00530 0.00225 0.00103 0.00007 0.00000 0.17577
12 0.10152 0.03051 0.00543 0.00238 0.00111 0.00008 0.00000 0.17895
