# rastreio por passo -- plano_empurrar_radial_local_origem_forca025: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.00409 0.00003 0.00000 0.00000 0.00000 0.00000 0.00000 0.00437
3 0.01150 0.00007 0.00000 0.00000 0.00000 0.00000 0.00000 0.01275
4 0.02117 0.00016 0.00002 0.00000 0.00000 0.00000 0.00000 0.02377
5 0.03181 0.00046 0.00009 0.00002 0.00001 0.00000 0.00000 0.02938
6 0.04204 0.00113 0.00028 0.00008 0.00002 0.00000 0.00000 0.03653
7 0.05089 0.00224 0.00063 0.00020 0.00006 0.00000 0.00000 0.04199
8 0.05820 0.00385 0.00115 0.00040 0.00013 0.00000 0.00000 0.04671
9 0.06398 0.00601 0.00177 0.00067 0.00023 0.00000 0.00000 0.05129
10 0.06845 0.00878 0.00239 0.00096 0.00036 0.00001 0.00000 0.05582
11 0.07183 0.01222 0.00290 0.00122 0.00048 0.00002 0.00000 0.04379
12 0.07435 0.01631 0.00324 0.00142 0.00059 0.00002 0.00000 0.04754
