# rastreio por passo -- plano_empurrar_radial_local_origem_massa2: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.03272 0.00025 0.00000 0.00000 0.00000 0.00000 0.00000 0.03495
3 0.09010 0.00113 0.00012 0.00002 0.00000 0.00000 0.00000 0.09965
4 0.14470 0.00808 0.00111 0.00024 0.00006 0.00000 0.00000 0.16179
5 0.17054 0.02594 0.00392 0.00108 0.00029 0.00000 0.00000 0.17868
6 0.17945 0.04987 0.00802 0.00271 0.00084 0.00001 0.00000 0.20114
7 0.18448 0.07371 0.01190 0.00462 0.00160 0.00003 0.00000 0.22002
8 0.18795 0.09541 0.01451 0.00613 0.00234 0.00006 0.00000 0.23560
9 0.19051 0.11434 0.01567 0.00693 0.00287 0.00010 0.00000 0.24794
10 0.19237 0.13026 0.01586 0.00706 0.00313 0.00015 0.00000 0.24785
11 0.19366 0.14316 0.01629 0.00675 0.00317 0.00020 0.00000 0.22053
12 0.19434 0.15327 0.01890 0.00623 0.00305 0.00025 0.00000 0.20984
