# rastreio por passo -- plano_empurrar_radial_local_origem_parado: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.06543 0.00050 0.00000 0.00000 0.00000 0.00000 0.00000 0.06990
3 0.12140 0.00421 0.00046 0.00008 0.00002 0.00000 0.00000 0.12837
4 0.14674 0.01568 0.00219 0.00055 0.00014 0.00000 0.00000 0.15228
5 0.15216 0.03145 0.00479 0.00155 0.00046 0.00000 0.00000 0.15619
6 0.15101 0.04795 0.00694 0.00266 0.00091 0.00002 0.00000 0.15395
7 0.14754 0.06373 0.00792 0.00333 0.00128 0.00003 0.00000 0.14958
8 0.14292 0.07779 0.00778 0.00342 0.00145 0.00006 0.00000 0.14422
9 0.13771 0.08920 0.00701 0.00308 0.00142 0.00008 0.00000 0.13841
10 0.13232 0.09759 0.00608 0.00260 0.00127 0.00010 0.00000 0.13254
11 0.12707 0.10313 0.00537 0.00218 0.00110 0.00012 0.00000 0.12695
12 0.12215 0.10635 0.00522 0.00190 0.00096 0.00014 0.00000 0.12183
