# rastreio por passo -- plano_inflar_radial_local_origem: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.09347 0.00072 0.00000 0.00000 0.00000 0.00000 0.00000 0.09986
3 0.22771 0.00857 0.00089 0.00016 0.00003 0.00000 0.00000 0.24879
4 0.26348 0.05248 0.00566 0.00135 0.00033 0.00000 0.00000 0.28459
5 0.26706 0.10238 0.01401 0.00444 0.00129 0.00001 0.00000 0.29137
6 0.26888 0.13989 0.02178 0.00834 0.00280 0.00004 0.00000 0.30880
7 0.27012 0.16933 0.02663 0.01122 0.00423 0.00010 0.00000 0.31915
8 0.27060 0.19245 0.02953 0.01230 0.00512 0.00018 0.00000 0.32474
9 0.27017 0.20985 0.03441 0.01185 0.00535 0.00026 0.00000 0.32592
10 0.26880 0.22213 0.04533 0.01057 0.00509 0.00035 0.00000 0.32387
11 0.26641 0.23007 0.06238 0.00940 0.00458 0.00043 0.00000 0.31358
12 0.26294 0.23452 0.08290 0.00960 0.00404 0.00049 0.00000 0.31013
