# rastreio por passo -- plano_inflar_radial_local_origem_massa2: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.04673 0.00036 0.00000 0.00000 0.00000 0.00000 0.00000 0.04993
3 0.12610 0.00220 0.00025 0.00004 0.00001 0.00000 0.00000 0.13915
4 0.18532 0.01619 0.00204 0.00045 0.00011 0.00000 0.00000 0.20615
5 0.20389 0.04543 0.00638 0.00184 0.00051 0.00000 0.00000 0.21911
6 0.20928 0.07654 0.01184 0.00418 0.00133 0.00002 0.00000 0.24048
7 0.21314 0.10389 0.01630 0.00655 0.00233 0.00005 0.00000 0.25815
8 0.21589 0.12718 0.01881 0.00812 0.00319 0.00009 0.00000 0.27171
9 0.21784 0.14649 0.01974 0.00868 0.00370 0.00015 0.00000 0.28135
10 0.21906 0.16193 0.02072 0.00845 0.00386 0.00021 0.00000 0.28760
11 0.21959 0.17377 0.02456 0.00778 0.00375 0.00027 0.00000 0.28069
12 0.21941 0.18251 0.03324 0.00704 0.00352 0.00032 0.00000 0.28386
