# rastreio por passo -- plano_inflar_radial_local_origem_parado: |u| DEPOIS do passo k, de vertices de repouso nomeados (offsets perpendiculares ao traco, a partir do pen-down); 'sob_o_cursor_k' = vertice mais proximo do ponto k do caminho
passo sob_o_pen-down a_1R a_2R inicio_da_banda_2.875R meio_da_banda_3.2R limite_3.5R fora_4R sob_o_cursor_k
1 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
2 0.09347 0.00072 0.00000 0.00000 0.00000 0.00000 0.00000 0.09986
3 0.16443 0.00854 0.00089 0.00016 0.00003 0.00000 0.00000 0.17289
4 0.18318 0.02982 0.00383 0.00099 0.00026 0.00000 0.00000 0.18881
5 0.18263 0.05347 0.00764 0.00258 0.00079 0.00001 0.00000 0.18649
6 0.17842 0.07485 0.01032 0.00409 0.00144 0.00003 0.00000 0.18108
7 0.17300 0.09331 0.01116 0.00481 0.00190 0.00006 0.00000 0.17472
8 0.16696 0.10820 0.01057 0.00469 0.00204 0.00009 0.00000 0.16791
9 0.16067 0.11908 0.00935 0.00407 0.00192 0.00012 0.00000 0.16104
10 0.15450 0.12612 0.00839 0.00336 0.00168 0.00015 0.00000 0.15446
11 0.14869 0.12997 0.00872 0.00280 0.00143 0.00017 0.00000 0.14841
12 0.14331 0.13144 0.01121 0.00246 0.00124 0.00019 0.00000 0.14293
